anagrams1, anagrams2,anagrams3
0.013381, 0.000006, 0.000004
0.015570, 0.000008, 0.000006
0.014981, 0.000006, 0.000006
0.013450, 0.000008, 0.000007
0.015177, 0.000006, 0.000006
0.013417, 0.000006, 0.000004
0.013133, 0.000005, 0.000003
0.014525, 0.000006, 0.000004
0.013105, 0.000005, 0.000003
0.013117, 0.000004, 0.000004
0.014565, 0.000006, 0.000005
0.013425, 0.000006, 0.000004
0.013390, 0.000006, 0.000003
0.014657, 0.000007, 0.000004
0.013417, 0.000006, 0.000004
0.013178, 0.000005, 0.000004
0.014976, 0.000006, 0.000005
0.013304, 0.000005, 0.000004
0.013099, 0.000004, 0.000004
0.014675, 0.000006, 0.000004
0.013128, 0.000005, 0.000004
0.013077, 0.000005, 0.000004
0.014510, 0.000006, 0.000005
0.013128, 0.000005, 0.000004
0.013449, 0.000006, 0.000004
0.014578, 0.000005, 0.000004
0.013297, 0.000005, 0.000004
0.017831, 0.000010, 0.000006
0.014806, 0.000006, 0.000005
0.013451, 0.000005, 0.000005
0.014515, 0.000017, 0.000007
0.013428, 0.000005, 0.000004
0.013226, 0.000005, 0.000005
0.015159, 0.000009, 0.000007
0.013569, 0.000005, 0.000004
0.013386, 0.000006, 0.000005
0.014635, 0.000006, 0.000004
0.013138, 0.000005, 0.000003
0.013236, 0.000005, 0.000004
0.014472, 0.000005, 0.000004
0.013336, 0.000005, 0.000004
0.013608, 0.000006, 0.000004
0.019443, 0.000006, 0.000005
0.018246, 0.000006, 0.000005
0.016274, 0.000006, 0.000004
0.014203, 0.000006, 0.000005
0.013518, 0.000007, 0.000004
0.014493, 0.000036, 0.000014
0.013811, 0.000005, 0.000004
0.013150, 0.000005, 0.000004
0.014287, 0.000006, 0.000004
0.013159, 0.000005, 0.000003
0.014664, 0.000006, 0.000004
0.014627, 0.000006, 0.000004
0.013578, 0.000005, 0.000004
0.013357, 0.000004, 0.000004
0.014562, 0.000006, 0.000004
0.013114, 0.000004, 0.000003
0.013110, 0.000004, 0.000003
0.014703, 0.000006, 0.000004
0.013362, 0.000004, 0.000003
0.013348, 0.000004, 0.000003
0.014443, 0.000006, 0.000004
0.013112, 0.000004, 0.000004
0.013299, 0.000005, 0.000004
0.014984, 0.000006, 0.000004
0.013150, 0.000006, 0.000004
0.014130, 0.000031, 0.000014
0.013491, 0.000005, 0.000004
0.013121, 0.000004, 0.000004
0.014342, 0.000009, 0.000007
0.013405, 0.000005, 0.000003
0.013112, 0.000004, 0.000003
0.014298, 0.000010, 0.000006
0.013591, 0.000005, 0.000005
0.013367, 0.000004, 0.000004
0.013707, 0.000017, 0.000011
0.013853, 0.000005, 0.000004
0.013135, 0.000004, 0.000004
0.014297, 0.000006, 0.000004
0.013188, 0.000005, 0.000004
0.013242, 0.000006, 0.000005
0.014500, 0.000008, 0.000007
0.013516, 0.000005, 0.000004
0.012608, 0.000005, 0.000003
0.014550, 0.000006, 0.000004
0.013659, 0.000006, 0.000004
0.013305, 0.000005, 0.000004
0.014916, 0.000008, 0.000007
0.013942, 0.000006, 0.000005
0.013546, 0.000006, 0.000004
0.014751, 0.000006, 0.000004
0.013687, 0.000006, 0.000004
0.013376, 0.000006, 0.000004
0.014512, 0.000006, 0.000004
0.013361, 0.000006, 0.000004
0.013455, 0.000006, 0.000005
0.014536, 0.000006, 0.000005
0.014229, 0.000009, 0.000007
0.014265, 0.000005, 0.000004
