anagrams1, anagrams2,anagrams3
0.013061, 0.000007, 0.000004
0.016273, 0.000012, 0.000006
0.013423, 0.000006, 0.000005
0.013108, 0.000006, 0.000004
0.014648, 0.000006, 0.000005
0.012971, 0.000004, 0.000004
0.012981, 0.000004, 0.000004
0.014362, 0.000007, 0.000004
0.013104, 0.000005, 0.000005
0.013100, 0.000006, 0.000004
0.015069, 0.000007, 0.000005
0.012969, 0.000005, 0.000004
0.013040, 0.000006, 0.000004
0.014365, 0.000006, 0.000004
0.013064, 0.000005, 0.000004
0.013214, 0.000005, 0.000004
0.014627, 0.000006, 0.000005
0.012985, 0.000004, 0.000003
0.012989, 0.000005, 0.000003
0.014641, 0.000005, 0.000006
0.013163, 0.000005, 0.000004
0.013584, 0.000008, 0.000006
0.014382, 0.000009, 0.000006
0.017102, 0.000007, 0.000005
0.017816, 0.000010, 0.000007
0.019453, 0.000010, 0.000007
0.017709, 0.000006, 0.000004
0.014772, 0.000006, 0.000004
0.013233, 0.000005, 0.000005
0.014972, 0.000006, 0.000004
0.013200, 0.000005, 0.000004
0.013270, 0.000005, 0.000004
0.014174, 0.000006, 0.000004
0.013077, 0.000005, 0.000004
0.013268, 0.000007, 0.000004
0.014044, 0.000010, 0.000007
0.013199, 0.000005, 0.000004
0.012977, 0.000005, 0.000004
0.014290, 0.000006, 0.000005
0.013005, 0.000004, 0.000003
0.014153, 0.000006, 0.000005
0.014508, 0.000007, 0.000005
0.012989, 0.000004, 0.000004
0.013064, 0.000005, 0.000009
0.014324, 0.000006, 0.000004
0.012965, 0.000005, 0.000004
0.013002, 0.000005, 0.000003
0.014306, 0.000007, 0.000005
0.012981, 0.000004, 0.000004
0.013064, 0.000005, 0.000004
0.014540, 0.000007, 0.000004
0.013451, 0.000004, 0.000004
0.013009, 0.000005, 0.000004
0.015320, 0.000006, 0.000005
0.012986, 0.000005, 0.000004
0.013058, 0.000006, 0.000004
0.014412, 0.000006, 0.000004
0.012985, 0.000004, 0.000004
0.013033, 0.000005, 0.000003
0.014360, 0.000005, 0.000005
0.013005, 0.000005, 0.000004
0.013312, 0.000005, 0.000004
0.014360, 0.000006, 0.000004
0.012958, 0.000005, 0.000003
0.013056, 0.000005, 0.000004
0.014376, 0.000006, 0.000004
0.013052, 0.000005, 0.000004
0.013021, 0.000005, 0.000004
0.014356, 0.000007, 0.000005
0.013080, 0.000005, 0.000004
0.013125, 0.000005, 0.000005
0.015209, 0.000006, 0.000005
0.013019, 0.000005, 0.000004
0.014997, 0.000009, 0.000006
0.014399, 0.000006, 0.000004
0.013047, 0.000006, 0.000004
0.013000, 0.000005, 0.000004
0.014421, 0.000005, 0.000004
0.013025, 0.000006, 0.000003
0.013969, 0.000010, 0.000007
0.014010, 0.000005, 0.000004
0.012958, 0.000005, 0.000004
0.013700, 0.000024, 0.000013
0.013621, 0.000006, 0.000005
0.013912, 0.000007, 0.000005
0.014741, 0.000012, 0.000006
0.016191, 0.000006, 0.000005
0.013045, 0.000005, 0.000004
0.014481, 0.000006, 0.000004
0.012994, 0.000005, 0.000005
0.013299, 0.000006, 0.000003
0.014630, 0.000007, 0.000004
0.013176, 0.000006, 0.000004
0.012960, 0.000004, 0.000004
0.014427, 0.000007, 0.000004
0.013115, 0.000006, 0.000004
0.013092, 0.000005, 0.000004
0.014797, 0.000011, 0.000007
0.013191, 0.000006, 0.000004
0.012981, 0.000005, 0.000004
